1;Инжич-Чукун;1;1;1
2;Кара-Паго;1;1;1
3;Кубина;1;1;1
4;Псыж;1;1;1
5;Эльбурган;1;1;1
6;Адыге-Хабль;2;1;1
7;Эрсакон;2;1;1
8;Садовое;2;1;1
9;Старо-Кувинск;2;1;1
10;Вако-Жиле;2;1;1
11;Апсуа;2;1;1
12;Ново-Кувинск;2;1;0
13;Абаза-Хабль;2;1;0
14;Спарта;2;1;0
15;Мало-Абазинск;2;1;0
16;Тапанта;2;1;0
17;Киево-Жураки;2;1;0
18;Баралки;2;1;0
19;Грушка;2;1;1
20;Дубянский;2;1;0
21;Архыз;3;1;1
22;Даусуз;3;1;1
23;Зеленчукская;3;1;1
24;Ильич;3;1;0
25;Исправная;3;1;1
26;Кардоникская;3;1;1
27;Кобу-Баши;3;1;0
28;Кызыл-Октябрь;3;1;1
29;Лесо-Кяфарь;3;1;0
30;Маруха;3;1;1
31;Нижний Архыз;3;1;0
32;Нижняя Ермоловка;3;1;0
33;Ново-Исправненский;3;1;0
34;Сторожевая;3;1;1
35;Фроловский;3;1;0
36;Хасаут-Греческое;3;1;1
37;Хуса-Кардоник;3;1;0
38;Белая Гора;4;1;0
39;Верхний Учкулан;4;1;0
40;Верхняя Мара;4;1;1
41;Верхняя Теберда;4;1;1
42;Восток;4;1;0
43;Джингирик;4;1;1
44;Каменномост;4;1;1
45;Карт-Джурт;4;1;1
46;Кубрань;4;1;0
47;Кумыш;4;1;1
48;Нижняя Мара;4;1;1
49;Нижняя Теберда;4;1;1
50;Новая Теберда;4;1;1
51;Новый Карачай;4;1;1
52;Правокубанский;4;1;1
53;Село имени Коста Хетагурова;4;1;1
54;Учкулан;4;1;1
55;Хумара;4;1;1
56;Хурзук;4;1;1
57;Аксу;5;1;0
58;Водовод;5;1;0
59;Джага;5;1;1
60;Кичи-Балык;5;1;1
61;Коммунстрой;5;1;0
62;Красный Восток;5;1;1
63;Красный Курган;5;1;1
64;Кызыл-Покун;5;1;1
65;Первомайское;5;1;1
66;Римгорское;5;1;1
67;Терезе;5;1;1
68;Учкекен;5;1;1
69;Хасаут;5;1;0
70;Элькуш;5;1;1
71;Икон-Халк;6;1;1
72;Эркен-Шахар;6;1;1
73;Эркен-Юрт;6;1;1
74;Адиль-Халк;6;1;1
75;Эркен-Халк;6;1;1
76;Кубан-Халк;6;1;0
77;Евсеевский;6;1;0
78;Кызыл-Тогай;6;1;0
79;Водораздельный;7;1;0
80;Дружба;7;1;1
81;Заречный;7;1;0
82;Знаменка;7;1;1
83;Ильичёвское;7;1;1
84;Кавказский;7;1;1
85;Красивый;7;1;0
86;Майский;7;1;1
87;Мичуринский;7;1;1
88;Николаевское;7;1;1
89;Новый;7;1;0
90;Октябрьский;7;1;1
91;Привольное;7;1;0
92;Пригородное;7;1;0
93;Пристань;7;1;0
94;Родниковский;7;1;0
95;Светлое;7;1;0
96;Солнечный;7;1;0
97;Счастливое;7;1;1
98;Таллык;7;1;1
99;Ударный;7;1;1
100;Холоднородниковский;7;1;0
101;Холоднородниковское;7;1;0
102;Чапаевское;7;1;1
103;Азиатский;8;1;0
104;Большевик;8;1;0
105;Дамхурц;8;1;0
106;Ершов;8;1;0
107;Загедан;8;1;1
108;Курджиново;8;1;1
109;Кызыл-Уруп;8;1;1
110;Медногорский;8;1;1
111;Первомайский;8;1;0
112;Подскальное;8;1;0
113;Преградная;8;1;1
114;Предгорное;8;1;1
115;Псемён;8;1;0
116;Пхия;8;1;0
117;Рожкао;8;1;0
118;Уруп;8;1;1
119;Важное;9;1;1
120;Гюрюльдеук;9;1;1
121;Джегута;9;1;0
122;Койдан;9;1;1
123;Красногорская;9;1;1
124;Кызыл-Кала;9;1;0
125;Новая Джегута;9;1;1
126;Сары-Тюз;9;1;1
127;Усть-Джегута;9;1;1
128;Эльтаркач;9;1;1
129;Хабез;10;1;1
130;Али-Бердуковский;10;1;1
131;Бесленей;10;1;1
132;Зеюко;10;1;1
133;Кош-Хабль;10;1;1
134;Жако;10;1;1
135;Псаучье-Дахе;10;1;1
136;Малый Зеленчук;10;1;1
137;Инжичишхо;10;1;1
138;Бавуко;10;1;1
139;Кызыл-Юрт;10;1;0
140;Абазакт;10;1;0
141;Ново-Хумаринский;10;1;0
142;Черкесск;11;1;1
143;Домбай;12;1;0
144;Карачаевск;12;1;1
145;Малокурганный;12;1;0
146;Мара-Аягъы;12;1;0
147;Орджоникидзевский;12;1;0
148;Теберда;12;1;0
149;Эльбрусский;12;1;0
